Property,property_Code,subproperty,subproperty_code,standard_unit,Classification,Description,Link to GloSIS,AGROVOC,CHEBI,ENVO,OTHER LINKS
Acid Saturation,Aciexc,Acid Saturation total,Aciexctot,%,Chemical,Acid saturation represents the amount of hydrogen (H⁺) and aluminum (Al³⁺) ions adsorbed onto soil particles that can be exchanged with the soil solution. It is a key factor in determining soil liming requirements and improving nutrient availability in acidic soils. Source: Brady & Weil (2017).,http://w3id.org/glosis/model/codelists/physioChemicalPropertyCode-Aciexc ,,,,
Acid Saturation,Aciexc,Hydrogen Saturation,Hsat,%,Chemical,Measure describing the relative abundance of hydrogen in the soil exchange complex. It is the percentage of the cation exchange capacity (CEC) occupied by hydrogen ions (H⁺).,,,,,
Acid Saturation,Aciexc,Aluminium Saturation,Alusat,%,Chemical,Measure to describe the relative abundance of alumium in the soil. It is the percentage of the CEC occupied by aluminium ions (Al³⁺).,http://w3id.org/glosis/model/codelists/physioChemicalPropertyCode-Alusat ,,,,
Aluminium,Alu,Aluminium Total,Alutot,mg/kg,Chemical,"Total concentration of aluminium in the soil, including both soluble and insoluble forms, typically measured after complete digestion of the soil sample.",http://w3id.org/glosis/model/codelists/physioChemicalPropertyCode-Alutot ,http://aims.fao.org/aos/agrovoc/c_47faeccc,,,
Aluminium,Alu,Aluminium Exctractable,Aluext,mg/kg,Chemical,Aluminium bound to the soil matrix but that can be released into the soil solution (i.e. become bio-available),http://w3id.org/glosis/model/codelists/physioChemicalPropertyCode-Aluext ,http://aims.fao.org/aos/agrovoc/c_47faeccc ,,,
Aluminium,Alu,Aluminium Exchangeable,Aluexc,cmolc/kg,Chemical,Aluminium ions bound to exchange surfaces in the soil such as clay minerals and organic matter that can be released to the soil solution upon exchange,http://w3id.org/glosis/model/codelists/physioChemicalPropertyCode-Aluexc ,http://aims.fao.org/aos/agrovoc/c_47faeccc ,,,
Arsenic,As,Arsenic Total,Astot,mg/kg,Chemical,"Arsenic is a naturally occurring metalloid found in soils, often originating from geological sources, industrial pollution, or pesticide residues. It exists in various inorganic and organic forms, with some being highly toxic and mobile. Monitoring arsenic levels is essential to assess environmental risks and prevent contamination of water and food sources. ",,,,,
Arsenic,As,Arsenic Exctractable,Asext,mg/kg,Chemical,"Extractable arsenic refers to the fraction of arsenic in soil that can be considered potentially mobile or bioavailable. This fraction is influenced by soil properties such as pH, redox conditions, iron and aluminum oxides, and organic matter content. Because extractable arsenic better approximates the forms that may leach into groundwater or be taken up by plants, it is commonly used in environmental risk assessment and soil contamination studies to evaluate potential exposure pathways.",,http://aims.fao.org/aos/agrovoc/c_a4326722,,,
Available water capacity,Avavol,,,cm³/cm³ ,Derived,"Available water capacity (AWC) measures the volume of water soil can retain between field capacity and the permanent wilting point. It represents the water accessible to plants for uptake. High AWC supports better plant growth, while low AWC may necessitate irrigation. Source: USDA NRCS.",http://w3id.org/glosis/model/codelists/physioChemicalPropertyCode-Avavol,http://aims.fao.org/aos/agrovoc/c_6569,,,
Base Saturation,Bas,Base saturation - calculated,Bascal,%,Chemical,"Base saturation represents the percentage of the soil's cation exchange capacity (CEC) occupied by basic cations such as calcium (Ca²⁺), magnesium (Mg²⁺), potassium (K⁺), and sodium (Na⁺). Higher base saturation typically correlates with higher fertility and a greater ability to supply essential nutrients to plants. This parameter also influences soil pH buffering capacity. Source: Brady & Weil (2017).",http://w3id.org/glosis/model/codelists/physioChemicalPropertyCode-Bascal,http://aims.fao.org/aos/agrovoc/c_29109 ,,,
